P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
XinguBelemN	InambariE	Rondonia	0.0101917	1.72823	0.0839471	0.354035	735.733	789.844	773.907
Tapajos	InambariE	RondoniaHeadwaters	0.00468373	0.733285	0.463385	0.00780505	777.442	807.768	800.236
TapajosHeadwaters	RondoniaHeadwaters	InambariE	0.0198589	2.48289	0.013032	0.1596	750.819	704.406	676.974
InambariE	RondoniaHeadwaters	XinguBelemC	0.0160832	3.0266	0.00247325	0.0536301	815.133	787.889	762.947
XinguBelemN	InambariE	RondoniaHeadwaters	0.0181971	2.43764	0.0147833	0.0304403	744.184	802.511	773.826
TapajosHeadwaters	Tapajos	InambariE	0.00173291	0.280019	0.779463	0.014077	714.801	688.338	685.956
XinguBelemC	Tapajos	InambariE	0.0142336	2.42823	0.0151725	0.114519	839.26	766.244	744.738
XinguBelemN	Tapajos	InambariE	0.0174312	3.68019	0.000233061	0.12899	818.994	758.769	732.77
InambariE	XinguBelemC	TapajosHeadwaters	0.00362432	0.457789	0.647104	0.0047185	672.481	699.554	694.502
InambariE	XinguBelemN	TapajosHeadwaters	0.00772904	0.945563	0.344372	0.00988004	656.895	688.332	677.773
XinguBelemN	XinguBelemC	InambariE	0.00430366	0.620709	0.534791	0.0338481	873.752	730.336	724.077
RondoniaHeadwaters	Rondonia	InambariW	0.000307647	0.0522138	0.958358	0.010507	835.59	771.289	770.815
Tapajos	Rondonia	InambariW	0.0187551	6.73545	1.63425e-11	0.381376	826.665	768.702	740.399
TapajosHeadwaters	Rondonia	InambariW	0.0139861	3.12119	0.00180121	0.296919	733.148	680.05	661.29
InambariW	XinguBelemC	Rondonia	0.0285782	4.16553	3.10624e-05	0.505235	729.635	818.055	772.597
InambariW	XinguBelemN	Rondonia	0.0256512	4.49326	7.01397e-06	0.474044	720.287	799.654	759.656
Tapajos	RondoniaHeadwaters	InambariW	0.018102	2.60353	0.00922703	0.370518	835.103	779.814	752.083
TapajosHeadwaters	RondoniaHeadwaters	InambariW	0.0135749	1.79646	0.0724214	0.310468	779.436	679.421	661.222
InambariW	XinguBelemC	RondoniaHeadwaters	0.02203	2.82649	0.00470605	0.0351919	743.52	821.626	786.205
InambariW	XinguBelemN	RondoniaHeadwaters	0.0205788	2.91225	0.00358837	0.0343153	729.69	800.313	768.038
Tapajos	TapajosHeadwaters	InambariW	0.00569444	1.16012	0.245999	0.108687	743.582	670.032	662.445
XinguBelemC	Tapajos	InambariW	0.0100342	1.87678	0.0605479	0.165319	872.653	739.367	724.677
XinguBelemN	Tapajos	InambariW	0.00691732	1.21451	0.224552	0.124622	846.799	729.404	719.383
XinguBelemC	TapajosHeadwaters	InambariW	0.0167646	2.30517	0.0211573	0.25779	725.275	675.533	653.256
XinguBelemN	TapajosHeadwaters	InambariW	0.0124143	1.65717	0.0974845	0.207974	711.049	658.189	642.047
XinguBelemC	XinguBelemN	InambariW	0.00250303	0.388853	0.697385	0.0385008	899.288	708.519	704.981
