P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
TapajosHeadwaters	Headwaters	XinguBelemC	0.0123807	1.89002	0.0587557	0.039388	803.22	677.25	660.686
Headwaters	TapajosHeadwaters	XinguBelemN	0.00403842	0.512848	0.608058	0.0105671	791.713	655.481	650.208
XinguBelemN	XinguBelemC	Headwaters	0.0174158	2.22597	0.0260164	0.029022	848.947	755.4	729.539
InambariW	Rondonia	InambariE	0.00910046	1.94582	0.051676	0.0908436	763.515	821.593	806.774
InambariW	RondoniaHeadwaters	InambariE	0.0114915	1.79773	0.0722198	0.146675	772.418	835.239	816.261
Tapajos	InambariW	InambariE	0.00691197	1.63213	0.102652	0.0777154	747.155	818.717	807.477
TapajosHeadwaters	InambariW	InambariE	0.00873622	1.49024	0.136161	0.0906154	670.438	727.749	715.143
XinguBelemC	InambariW	InambariE	0.0202156	2.68504	0.00725216	0.175828	739.12	825.28	792.574
XinguBelemN	InambariW	InambariE	0.0249683	4.58818	4.47129e-06	0.204599	732.436	813.25	773.628
InambariE	Rondonia	RondoniaHeadwaters	0.00121971	0.211199	0.832732	0.00210408	795.721	802.207	800.253
Tapajos	InambariE	Rondonia	7.24397e-05	0.0163287	0.986972	0.00521454	767.003	793.062	792.947
InambariE	TapajosHeadwaters	Rondonia	0.000720802	0.125359	0.900239	0.0485221	678.055	705.207	704.192
XinguBelemC	InambariE	Rondonia	0.00789207	1.3753	0.169037	0.357867	751.875	799.359	786.841
XinguBelemN	InambariE	Rondonia	0.0101917	1.72823	0.0839471	0.45737	735.733	789.844	773.907
Tapajos	InambariE	RondoniaHeadwaters	0.00468373	0.733285	0.463385	0.00815485	777.442	807.768	800.236
TapajosHeadwaters	RondoniaHeadwaters	InambariE	0.0198589	2.48289	0.013032	0.185277	750.819	704.406	676.974
InambariE	RondoniaHeadwaters	XinguBelemC	0.0160832	3.0266	0.00247325	0.0528988	815.133	787.889	762.947
XinguBelemN	InambariE	RondoniaHeadwaters	0.0181971	2.43764	0.0147833	0.0301657	744.184	802.511	773.826
TapajosHeadwaters	Tapajos	InambariE	0.00173291	0.280019	0.779463	0.0160093	714.801	688.338	685.956
XinguBelemC	Tapajos	InambariE	0.0142336	2.42823	0.0151725	0.122858	839.26	766.244	744.738
XinguBelemN	Tapajos	InambariE	0.0174312	3.68019	0.000233061	0.132354	818.994	758.769	732.77
InambariE	XinguBelemC	TapajosHeadwaters	0.00362432	0.457789	0.647104	0.0046281	672.481	699.554	694.502
InambariE	XinguBelemN	TapajosHeadwaters	0.00772904	0.945563	0.344372	0.0102693	656.895	688.332	677.773
XinguBelemN	XinguBelemC	InambariE	0.00430366	0.620709	0.534791	0.0300122	873.752	730.336	724.077
RondoniaHeadwaters	Rondonia	InambariW	0.000307647	0.0522138	0.958358	0.00822749	835.59	771.289	770.815
Tapajos	Rondonia	InambariW	0.0187551	6.73545	1.63425e-11	0.348764	826.665	768.702	740.399
TapajosHeadwaters	Rondonia	InambariW	0.0139861	3.12119	0.00180121	0.262654	733.148	680.05	661.29
InambariW	XinguBelemC	Rondonia	0.0285782	4.16553	3.10624e-05	0.599928	729.635	818.055	772.597
InambariW	XinguBelemN	Rondonia	0.0256512	4.49326	7.01397e-06	0.558079	720.287	799.654	759.656
Tapajos	RondoniaHeadwaters	InambariW	0.018102	2.60353	0.00922703	0.336804	835.103	779.814	752.083
TapajosHeadwaters	RondoniaHeadwaters	InambariW	0.0135749	1.79646	0.0724214	0.250519	779.436	679.421	661.222
InambariW	XinguBelemC	RondoniaHeadwaters	0.02203	2.82649	0.00470605	0.0335989	743.52	821.626	786.205
InambariW	XinguBelemN	RondoniaHeadwaters	0.0205788	2.91225	0.00358837	0.0333408	729.69	800.313	768.038
Tapajos	TapajosHeadwaters	InambariW	0.00569444	1.16012	0.245999	0.104358	743.582	670.032	662.445
XinguBelemC	Tapajos	InambariW	0.0100342	1.87678	0.0605479	0.152827	872.653	739.367	724.677
XinguBelemN	Tapajos	InambariW	0.00691732	1.21451	0.224552	0.107921	846.799	729.404	719.383
XinguBelemC	TapajosHeadwaters	InambariW	0.0167646	2.30517	0.0211573	0.248736	725.275	675.533	653.256
XinguBelemN	TapajosHeadwaters	InambariW	0.0124143	1.65717	0.0974845	0.204559	711.049	658.189	642.047
XinguBelemC	XinguBelemN	InambariW	0.00250303	0.388853	0.697385	0.0374282	899.288	708.519	704.981
RondoniaHeadwaters	Rondonia	Tapajos	0.00196749	0.371564	0.710218	0.0733871	794.086	787.694	784.6
TapajosHeadwaters	RondoniaHeadwaters	Rondonia	0.00434608	0.687599	0.491705	0.27283	731.956	691.499	685.514
RondoniaHeadwaters	Rondonia	XinguBelemC	0.00637172	1.05635	0.29081	0.0207584	799.973	780.582	770.698
RondoniaHeadwaters	Rondonia	XinguBelemN	0.00561305	0.957539	0.338295	0.0145849	783.686	761.667	753.164
TapajosHeadwaters	Tapajos	Rondonia	0.000293059	0.0623038	0.950321	0.0202176	691.443	690.155	689.751
XinguBelemC	Tapajos	Rondonia	0.00820553	1.55301	0.120421	0.360924	815.654	768.609	756.098
XinguBelemN	Tapajos	Rondonia	0.00971824	1.73495	0.0827491	0.395506	793.545	760.127	745.495
TapajosHeadwaters	Rondonia	XinguBelemC	0.00585785	0.799275	0.424131	0.0189196	695.146	681.089	673.156
TapajosHeadwaters	Rondonia	XinguBelemN	0.00377169	0.591999	0.553851	0.00982179	678.231	666.874	661.863
XinguBelemN	XinguBelemC	Rondonia	0.00272908	0.370848	0.710751	0.108028	844.989	737.523	733.508
RondoniaHeadwaters	TapajosHeadwaters	Tapajos	0.00194036	0.346376	0.72906	0.0702513	737.724	692.734	690.051
XinguBelemC	Tapajos	RondoniaHeadwaters	0.0128898	1.98709	0.0469119	0.0201556	830.337	780.516	760.651
XinguBelemN	Tapajos	RondoniaHeadwaters	0.0127768	1.80202	0.0715419	0.020407	804.84	767.834	748.461
TapajosHeadwaters	RondoniaHeadwaters	XinguBelemC	0.000186034	0.0245835	0.980387	0.000614544	744.52	675.779	675.528
TapajosHeadwaters	RondoniaHeadwaters	XinguBelemN	0.00057144	0.0682391	0.945595	0.00137758	720.435	659.651	658.898
XinguBelemN	XinguBelemC	RondoniaHeadwaters	0.000585734	0.0682571	0.945581	0.000901729	859.22	740.661	739.794
XinguBelemC	Tapajos	TapajosHeadwaters	0.0175208	2.36261	0.0181468	0.0221062	727.112	688.323	664.619
XinguBelemN	Tapajos	TapajosHeadwaters	0.0127865	1.5884	0.112196	0.0155415	706.984	674.642	657.608
XinguBelemN	XinguBelemC	Tapajos	0.0086726	1.22696	0.219838	3.45482	821.771	771.686	758.416
XinguBelemC	XinguBelemN	TapajosHeadwaters	0.00395142	0.408466	0.682931	0.00453183	753.196	648.858	643.75
